pubmed - cancer
year,count
2019,3274
2018,177673
2017,173709
2016,172557
2015,169779
2014,159736
2013,145593
2012,137100
2011,124479
2010,116409
2009,108601
2008,103864
2007,98892
2006,93692
2005,90622
2004,84818
2003,80818
2002,75522
2001,72329
2000,70438
1999,66634
1998,64439
1997,62572
1996,60912
1995,58441
1994,57977
1993,54817
1992,53236
1991,51386
1990,53164
1989,51708
1988,47788
1987,44884
1986,42875
1985,41741
1984,40147
1983,37311
1982,34838
1981,33128
1980,32331
1979,31195
1978,29386
1977,27511
1976,25894
1975,25321
1974,24104
1973,23154
1972,22563
1971,22051
1970,20997
1969,20603
1968,20398
1967,18776
1966,16730
1965,17234
1964,19303
1963,16184
1962,12256
1961,11360
1960,10353
1959,10372
1958,9906
1957,10313
1956,10056
1955,10261
1954,9626
1953,9557
1952,9381
1951,8971
1950,6936
1949,4986
1948,5392
1947,4568
1946,3334
1945,942
1944,38
1943,33
1942,33
1941,55
1940,41
1939,60
1938,70
1937,56
1936,65
1935,69
1934,62
1933,42
1932,53
1931,52
1930,58
1929,60
1928,55
1927,48
1926,50
1925,53
1924,39
1923,41
1922,36
1921,30
1920,27
1919,19
1918,17
1917,15
1916,30
1915,39
1914,44
1913,35
1912,46
1911,51
1910,36
1909,66
1908,34
1907,22
1906,28
1905,38
1904,33
1903,51
1902,45
1901,22
1900,26
1899,22
1898,18
1897,14
1896,12
1895,13
1894,15
1893,14
1892,15
1891,10
1890,18
1889,16
1888,10
1887,10
1886,4
1885,4
1884,6
1883,4
1882,5
1881,3
1880,4
1879,3
1878,2
1877,5
1876,1
1875,2
1874,5
1873,4
1872,7
1871,1
1870,16
1869,4
1868,4
1867,8
1866,1
1865,1
1862,3
1860,1
1859,2
1858,2
1857,3
1856,2
1855,3
1853,2
1852,4
1849,2
1848,1
1847,2
1846,4
1844,3
1843,2
1842,1
1841,1
1840,3
1838,1
1832,1
1831,7
1830,1
1829,3
1828,1
1826,4
1823,3
1822,1
1821,2
1820,2
1819,1
1818,2
1817,2
1816,1
1815,1
1814,1
1811,1
1810,2
1808,1
1807,3
1806,1
1805,1
1804,2
1803,1
1802,3
1801,5
1800,1
1792,1
1789,1
1787,1

