pubmed - disease
year,count
2019,3658
2018,221981
2017,218491
2016,217172
2015,209531
2014,197849
2013,182484
2012,169338
2011,157071
2010,148374
2009,139109
2008,132780
2007,125604
2006,119568
2005,112186
2004,104937
2003,100221
2002,92139
2001,87563
2000,83621
1999,78544
1998,73632
1997,70006
1996,65876
1995,62694
1994,58310
1993,55703
1992,53735
1991,52302
1990,51181
1989,48694
1988,41837
1987,39617
1986,36868
1985,35696
1984,33953
1983,31743
1982,28761
1981,27562
1980,26346
1979,26344
1978,25827
1977,25096
1976,24964
1975,23591
1974,19139
1973,18452
1972,16971
1971,16103
1970,14916
1969,13038
1968,11616
1967,9880
1966,7772
1965,7716
1964,9105
1963,7845
1962,8698
1961,9595
1960,8818
1959,8860
1958,8879
1957,8937
1956,9059
1955,9545
1954,9479
1953,8523
1952,8066
1951,6469
1950,4503
1949,3441
1948,3455
1947,3643
1946,3195
1945,910
1944,95
1943,88
1942,87
1941,120
1940,97
1939,154
1938,150
1937,122
1936,156
1935,139
1934,166
1933,156
1932,124
1931,159
1930,149
1929,138
1928,148
1927,148
1926,138
1925,111
1924,133
1923,139
1922,103
1921,122
1920,111
1919,99
1918,76
1917,78
1916,78
1915,90
1914,114
1913,133
1912,128
1911,82
1910,90
1909,132
1908,96
1907,47
1906,50
1905,62
1904,45
1903,64
1902,48
1901,43
1900,42
1899,32
1898,53
1897,62
1896,58
1895,64
1894,42
1893,54
1892,66
1891,23
1890,45
1889,42
1888,58
1887,36
1886,31
1885,32
1884,24
1883,28
1882,26
1881,33
1880,37
1879,27
1878,40
1877,41
1876,44
1875,38
1874,29
1873,42
1872,48
1871,32
1870,21
1869,22
1868,21
1867,21
1866,28
1865,6
1864,13
1863,7
1862,14
1861,6
1860,7
1859,7
1858,8
1857,12
1856,9
1855,12
1854,8
1853,20
1852,17
1851,11
1850,16
1849,8
1848,22
1847,10
1846,32
1845,36
1844,14
1843,23
1842,21
1841,29
1840,8
1839,9
1838,3
1837,7
1836,6
1835,6
1834,4
1833,7
1832,11
1831,9
1830,2
1829,15
1828,19
1827,8
1826,6
1825,11
1824,5
1823,6
1822,9
1821,2
1820,5
1819,11
1818,7
1817,10
1816,11
1815,8
1814,6
1813,5
1812,7
1811,4
1810,8
1809,5
1808,6
1807,5
1806,4
1805,2
1804,3
1803,4
1802,7
1801,5
1800,5
1799,8
1797,2
1792,1
1791,1
1790,2
1789,3
1788,5
1787,2
1786,5
1781,2
101,1

